Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00183430,1,Prazosin for Treating Noncombat Trauma Post-Traumatic Stress Disorder,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Behavioral,,Nervous System Diseases|Symptoms and General Pathology|Behaviors and Mental Disorders|All Conditions,OTHER,,Single,United States,3-Oct,13-Sep-05,9-May,10-Dec,22-Oct-12,Insufficient Enrollment,,2,20,Actual,95,,TRUE,,20,20,14,0.21,0,14,0,,2 - No Scientific Data
NCT00183963,1,A Pilot Clinical Trial to Evaluate the Biological Activity of Fulvestrant in Breast Ductal Carcinoma in Situ (DCIS),Treatment,Single Group Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions,OTHER,,Single,United States,6-Aug,12-Sep-05,8-Jun,8-Jun,9-Nov-12,Insufficient accrual,,2,4,Actual,100,Anticipated,TRUE,,4,4,0,0.04,0,4,0,,2 - No Scientific Data
NCT00184548,1,Evaluation of Recombinant Factor VIIa in Patients With Severe Bleeding,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Heart and Blood Diseases|Blood and Lymph Conditions|All Conditions|Symptoms and General Pathology,INDUSTRY,,Multiple,United States|Australia|Austria|Belgium|Brazil|Canada|Czech Republic|Finland|France|Germany|Greece|Hong Kong|Hungary|Israel|Italy|Netherlands|New Zealand|Norway|Portugal|Singapore|South Africa|Spain|Sweden|Switzerland|Taiwan|United Kingdom,5-Aug,9-Sep-05,8-Sep,8-Sep,4-Sep-09,See termination reason in detailed description,"The decision to discontinue the F7TRAUMA-1711 trial is not due to any safety concerns. The result of the pre-planned futility analysis performed in June 2008 predicted a very low likelihood of reaching a successful outcome on the primary efficacy endpoint at the end of the trial and as a consequence, the company has decided to close the trial as this juncture.",6,554,Actual,1002,,FALSE,F,573,573,460,0.57,362,560,1,20838118,1 - Scientific Data
NCT00187135,1,Study of Fentanyl-Propofol-EMLA of L.M.X4 Technique for Bone Marrow Aspiration,Treatment,Crossover Assignment,Double Blind,Randomized,Drug|Drug|Drug|Drug,Phase 3,Nervous System Diseases|Symptoms and General Pathology|All Conditions|Blood and Lymph Conditions,OTHER,,Single,United States,2-Mar,12-Sep-05,8-Aug,8-Aug,13-Oct-09,The study was terminated due to slow accrual.,,2,168,Actual,185,,FALSE,F,162,162,150,0.88,0,316,1,22883421,2 - No Scientific Data
NCT00189423,1,ResQ Trial: Impact of an ITD and Active Compression Decompression CPR on Survival From Out-of-Hospital Cardiac Arrest,Treatment,Parallel Assignment,Single Blind,Randomized,Device|Procedure,,Heart and Blood Diseases|Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States,5-Oct,12-Sep-05,10-Jul,10-Jul,1-Mar-12,Terminated due to lack of funding. Follow-up completed for all enrolled subjects.,,1,1653,Actual,2450,,TRUE,,1653,1653,1653,0.67,1553,1653,1,21251705,2 - No Scientific Data
NCT00191477,1,Instillation of Gemcitabine in Patients With Superficial Bladder Cancer,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,"Cancers and Other Neoplasms|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",INDUSTRY,,Single,Germany,4-Jan,12-Sep-05,8-Mar,8-Jun,17-Mar-09,The study was stopped early for futility reasons.,,6,355,Actual,328,,TRUE,,355,355,328,1.08,27,328,1,19560257,1 - Scientific Data
NCT00202449,1,Prazosin vs Paroxetine in Combat Stress-Related Post-Traumatic Stress Disorder (PTSD) Nightmares & Sleep Disturbance,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,,Nervous System Diseases|Symptoms and General Pathology|Behaviors and Mental Disorders|All Conditions,OTHER,,Multiple,United States|United States,4-Jul,12-Sep-05,8-Feb,8-Feb,24-Feb-12,recruitment difficulties,,2,59,Actual,210,,TRUE,,59,59,25,0.28,0,59,0,,2 - No Scientific Data
NCT00203307,1,A Research Study Examining the Use of Olanzapine for the Prevention of Migraine,Treatment,Crossover Assignment,Double-Blind,Randomized,Drug|Drug,,Nervous System Diseases|All Conditions|Symptoms and General Pathology,OTHER,,Single,United States,4-May,13-Sep-05,6-Mar,6-Jun,24-May-11,Study terminated by sponsor,,8,3,Actual,46,,TRUE,,3,3,3,0.07,0,3,0,,2 - No Scientific Data
NCT00206440,1,Nexium Study To Suppress Nausea During Chemotherapy,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Other,Phase 3,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology,OTHER,,Single,United States,5-Aug,13-Sep-05,9-Feb,12-Feb,1-Feb-12,Accrual was not optimized,,2,43,Actual,192,,TRUE,,43,43,40,0.22,0,43,0,,2 - No Scientific Data
NCT00208949,1,A Comparison of Dendritic Cell Content and T-Cell Phenotype Between Granulocyte Colony-Stimulating Factor (G-CSF) or G-CSF + Granulocyte Macrophage (GM)-CSF,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 2,Blood and Lymph Conditions|All Conditions,OTHER,,Single,United States,2-Sep,13-Sep-05,10-May,12-May,22-Mar-12,slow accrual,,2,50,Actual,20,,TRUE,,50,50,50,2.5,14,50,1,23201472,2 - No Scientific Data
NCT00208975,1,"Phase II Study of Fludarabine and Mitoxantrone, Followed by GM-CSF(Granulocyte-macrophage Colony-stimulating Factor) and Rituximab",Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,2-Jul,13-Sep-05,9-Dec,11-Sep,16-Mar-12,slow accrual,,2,15,Actual,20,,TRUE,,15,15,15,0.75,0,15,0,,2 - No Scientific Data
NCT00209027,1,The Effects of Aripiprazole on the Processing of Rewards in Schizophrenia,,Parallel Assignment,Open Label,Non-Randomized,Other|Drug,,Symptoms and General Pathology|All Conditions|Behaviors and Mental Disorders,OTHER,,Single,United States,5-Apr,13-Sep-05,10-Dec,11-Apr,13-Apr-12,"difficulty with technical aspect of fMRI, resources to complete the study ran out",,4,20,Actual,30,,TRUE,,20,20,0,0.67,0,20,0,,2 - No Scientific Data
NCT00209092,1,Randomized Phase II Trial Induction Therapy for Early Stage Breast Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions,OTHER,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,6-Aug,14-Sep-05,9-Jul,12-Sep,15-Mar-12,,,9,51,Actual,100,,TRUE,,51,51,51,0.51,17,51,1,23332349,3 - No Reason Provided
NCT00209131,1,Efficacy of Flomax to Improve Stone Passage Following Shock Wave Lithotripsy,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions|Symptoms and General Pathology",OTHER,,Single,United States,5-Apr,14-Sep-05,9-Feb,9-Feb,5-Jun-12,Due to frequent turnover of research coordinators and thus poor study accrual.,,4,24,Actual,24,,FALSE,F,26,26,0,1.08,0,0,0,,2 - No Scientific Data
NCT00209560,0,A Study of AQUAVAN?? Injection in the Presence of Pre-Medication in Patients Undergoing Minor Surgical Procedures,Treatment,Parallel Assignment,Open Label,Randomized,Drug,Phase 3,Nervous System Diseases|Wounds and Injuries|All Conditions|Symptoms and General Pathology|Diseases and Abnormalities at or before Birth|Rare Diseases,INDUSTRY,,,,4-Oct,13-Sep-05,,5-Mar,1-Mar-12,,,9,168,Actual,240,,FALSE,E,163,168,163,0.7,1,163,0,,3 - No Reason Provided
NCT00210626,1,"Assess Functional Outcomes in Anemic, Critically Ill, Trauma Patients When Taking Epoetin Alfa",Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Blood and Lymph Conditions|All Conditions|Symptoms and General Pathology,INDUSTRY,,,,5-Aug,13-Sep-05,8-Jun,8-Jun,26-Jun-09,The study was stopped early due to slow enrollment,,2,192,Actual,204,,TRUE,,192,192,166,0.94,37,188,0,,2 - No Scientific Data
NCT00215540,0,SURFAXIN?? Treatment for Prevention of Bronchopulmonary Dysplasia (BPD) in Very Low Birth Weight (VLBW) Infants.,Prevention,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 2,"Respiratory Tract (Lung and Bronchial) Diseases|Diseases and Abnormalities at or before Birth|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Symptoms and General Pathology|Wounds and Injuries|Rare Diseases",INDUSTRY,,Single,United States,5-Feb,14-Sep-05,6-Jul,6-Jul,2-Apr-12,Concerns related to availability of drug product,,3,136,Actual,136,Actual,TRUE,,136,136,136,1,104,136,1,19117865,2 - No Scientific Data
NCT00215553,0,KLƒ??Surfactant Treatment in Patients With ARDS,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Other,Phase 2,Respiratory Tract (Lung and Bronchial) Diseases|Diseases and Abnormalities at or before Birth|All Conditions|Symptoms and General Pathology|Wounds and Injuries|Rare Diseases,INDUSTRY,,Single,United States,1-May,14-Sep-05,6-Feb,6-Feb,2-Apr-12,Slow enrollment and administrative reasons,,2,124,Actual,124,Actual,TRUE,,124,124,124,1,49,124,0,,2 - No Scientific Data
NCT00215657,1,Extension Study Investigating the Long-Term Safety and Tolerability of Repeat Doses of FE200486 in Prostate Cancer Patients,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug,Phase 2,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions",INDUSTRY,,,,3-Mar,20-Sep-05,6-Mar,6-Mar,22-Jan-09,The doses were not effective in maintaining testosterone suppression,,6,131,Actual,156,,FALSE,E,180,131,172,0.84,47,,0,,1 - Scientific Data
NCT00217022,1,Budesonide Versus Placebo for the Treatment of Lymphocytic Colitis,Treatment,Parallel Assignment,Double Blind,Randomized,Other|Drug,Phase 2|Phase 3,Digestive System Diseases|All Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,3-Jun,14-Sep-05,8-Feb,8-Feb,15-Jul-11,"Study closed early, because of low enrollment.",,2,16,Actual,30,,TRUE,,16,16,16,0.53,0,15,0,,2 - No Scientific Data
NCT00217724,1,Glutamine in Preventing Myalgia and/or Arthralgia in Patients Who Are Receiving Paclitaxel For Cancer,Supportive Care,Crossover Assignment,Double Blind,Randomized,Dietary Supplement|Other,,"Muscle, Bone, and Cartilage Diseases|Symptoms and General Pathology|All Conditions|Nervous System Diseases",OTHER,,Single,United States,Jul-99,20-Sep-05,9-Jan,9-Mar,10-Jun-10,Only able to accrue just 18 of the 40 target & funds were limited.,,2,18,Actual,40,,TRUE,,18,18,28,0.45,0,36,0,,2 - No Scientific Data
NCT00238355,1,Voriconazole and Caspofungin Acetate in Treating Invasive Fungal Infections in Patients With Weakened Immune Systems,Supportive Care,Single Group Assignment,Open Label,,Drug|Drug,Phase 2,Bacterial and Fungal Diseases|All Conditions,OTHER,,Single,United States,3-Aug,12-Oct-05,8-Jun,8-Jun,7-Nov-11,competing study at site,,7,13,Actual,47,,TRUE,,13,13,13,0.28,10,13,0,,2 - No Scientific Data
NCT00239720,1,hOKT3gamma1 (Ala-Ala) for the Treatment of Psoriatic Arthritis,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Bacterial and Fungal Diseases|Rare Diseases",NIH,,Multiple,United States|United States,6-Mar,13-Oct-05,6-Dec,8-Jun,15-Feb-12,FDA Clinical Hold,,7,4,Actual,120,,TRUE,,4,4,0,0.03,1,4,0,,2 - No Scientific Data
NCT00245128,0,Imatinib Mesylate in Treating Patients With Myelofibrosis,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Blood and Lymph Conditions|All Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,5-Aug,25-Oct-05,7-Mar,11-Oct,25-Oct-11,"Per PI, results from another similar study were published prior to study analysis. Negative study results were published therefore analysis was not completed",,7,10,Actual,10,Actual,TRUE,,10,10,0,1,10,10,0,,2 - No Scientific Data
NCT00245466,1,Study Investigating the Long-Term Safety and Tolerability of Repeated Doses of Degarelix in Prostate Cancer Patients,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions",INDUSTRY,,,,1-Oct,26-Oct-05,6-Mar,6-Mar,22-Jan-09,The maintenance doses were too low to maintain testosterone suppression,,6,88,Actual,120,,FALSE,E,129,88,129,0.73,34,,0,,1 - Scientific Data
NCT00249002,1,Use of ABI-007 for the Prevention of Vascular Access Graft Failure in Patients Undergoing Hemodialysis,Prevention,Single Group Assignment,Open Label,,Drug,Phase 2,Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States,5-Nov,3-Nov-05,7-Nov,7-Nov,21-Feb-12,Terminated due to pipeline prioritization,,8,9,Actual,20,,TRUE,,9,9,9,0.45,6,9,0,,2 - No Scientific Data
NCT00251589,1,A Phase I/II Clinical Trial of Vorinostat in Combination With Erlotinib for Patients With Relapsed/Refractory Non-Small-Cell Lung Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug|Drug|Drug,Phase 1|Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,INDUSTRY,,,,5-Nov,7-Nov-05,7-Oct,7-Dec,27-Oct-08,"This trial is being closed based on lack of substantive efficacy, slow accrual and overall tolerance in patients treated to date.",,6,23,Actual,98,,TRUE,,23,23,12,0.23,,,0,,1 - Scientific Data
NCT00255008,1,Peg-Intron and Rebetol Therapy in Treatment of Naive Hepatitis C Patients: A Comparison of Race and Genotype on Treatment Outcome (Study P04212)(TERMINATED),Treatment,Parallel Assignment,Open Label,Randomized,Biological|Drug|Biological|Drug,Phase 4,Viral Diseases|Digestive System Diseases|All Conditions,INDUSTRY,,,,5-Mar,15-Nov-05,7-Dec,7-Dec,5-Dec-08,Slow enrollment,,2,121,Actual,462,,TRUE,,121,121,30,0.26,6,121,0,,2 - No Scientific Data
NCT00255034,1,"Effects of 48 Weeks Versus 24 Weeks of Therapy With Peg-Intron/Ribavirin in Patients With Chronic Hepatitis C, Genotype 3 (Study P04143)(TERMINATED)",Treatment,Parallel Assignment,Open Label,Randomized,Biological|Biological|Drug|Drug,Phase 4,Viral Diseases|Digestive System Diseases|All Conditions,INDUSTRY,,,,5-Feb,15-Nov-05,8-Jun,8-Jun,4-Jun-09,Recruitment targets were unachievable in the currently available population.,,2,146,Actual,624,,FALSE,F,143,143,142,0.23,17,143,0,,2 - No Scientific Data
NCT00257192,1,Safety And Efficacy Of Ziprasidone In Adolescents With Schizophrenia,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Behaviors and Mental Disorders|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Colombia|Colombia|Costa Rica|India|India|India|India|India|India|India|India|India|India|Malaysia|Malaysia|Malaysia|Malaysia|Peru|Peru|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Singapore|Singapore|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine,6-Apr,21-Nov-05,9-Mar,9-Mar,23-Mar-10,Please see Detailed Description for termination reason.,"Termination Reason: On March 24, 2009, Pfizer Inc. stopped late stage Geodon pediatric clinical trials in schizophrenia (A1281134 - placebo controlled; A1281135 - open label). As recommended by the DSMB, these studies were stopped due to lack of efficacy. No safety concerns were identified.",6,284,Actual,276,,TRUE,,284,284,276,1.03,10,283,1,24111983,1 - Scientific Data
NCT00258349,1,Vorinostat and Trastuzumab in Treating Patients With Metastatic or Locally Recurrent Breast Cancer,Treatment,Single Group Assignment,Open Label,,Biological|Drug,Phase 1|Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions|Rare Diseases,NIH,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,6-Aug,22-Nov-05,9-Sep,10-Sep,28-Aug-12,due to a low response rate in a pre-planned efficacy evaluation,,6,16,Actual,53,,TRUE,,16,16,10,0.3,4,16,0,,1 - Scientific Data
NCT00258440,1,Epoetin Alfa in Treating Patients With Anemia Who Are Undergoing Chemotherapy for Cancer,Supportive Care,Parallel Assignment,Open Label,Randomized,Drug|Drug,,Blood and Lymph Conditions|All Conditions|Symptoms and General Pathology,OTHER,,Single,United States,3-May,23-Nov-05,8-Sep,8-Sep,10-Jun-10,Sponsor discontinued funding of the study,,1,7,Actual,25,,TRUE,,7,7,7,0.28,1,7,0,,2 - No Scientific Data
NCT00259285,1,Pemetrexed and Cisplatin Treatment Before Surgery in Non Small Cell Lung Cancer,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,INDUSTRY,,Multiple,Spain|Spain|Spain|Spain|Spain|Spain,5-Nov,28-Nov-05,7-Dec,7-Dec,19-Dec-08,Trial was stopped early due to low enrollment.,,2,10,Actual,44,,TRUE,,10,10,10,0.23,1,,0,,2 - No Scientific Data
NCT00260208,1,Liver Fibrosis in Patients Transplanted for Hepatitis C Receiving Either Cyclosporine Microemulsion or Tacrolimus,Prevention,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 4,Viral Diseases|Digestive System Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Multiple,United States|Switzerland,6-Jan,30-Nov-05,10-Sep,,14-Sep-11,Study was prematurely terminated due to poor recruitment.,,2,361,Actual,450,Anticipated,FALSE,E,356,361,165,0.8,286,356,0,,2 - No Scientific Data
NCT00262951,1,Chemoradiation in Locally Advanced Pancreatic Cancer,Treatment,Single Group Assignment,Open Label,,Biological|Drug|Drug|Radiation|Procedure,Phase 2,Cancers and Other Neoplasms|All Conditions|Digestive System Diseases|Gland and Hormone Related Diseases|Rare Diseases,OTHER,,Single,United States,5-Jan,6-Dec-05,11-Apr,11-Aug,14-Nov-11,Closed at a planned interim analysis by meeting a predefined toxicity endpoint,,5,23,Actual,43,,TRUE,,23,23,23,0.53,12,23,1,23509924,1 - Scientific Data
NCT00265382,1,Safety And Tolerability Of Ziprasidone In Adolescents With Schizophrenia,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 3,Behaviors and Mental Disorders|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Colombia|Colombia|Costa Rica|India|India|India|India|India|India|India|India|India|Malaysia|Malaysia|Malaysia|Malaysia|Peru|Peru|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Singapore|Singapore|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine,6-Jun,12-Dec-05,9-Jun,9-Jun,16-Apr-10,Please see Detailed Description for termination reason.,"On March 24, 2009, Pfizer Inc. stopped late stage Geodon pediatric clinical trials in schizophrenia (A1281134 - placebo controlled; A1281135 - open label). As recommended by the DSMB, these studies were stopped due to lack of efficacy. No safety concerns were identified.",6,221,Actual,180,,TRUE,,221,221,221,1.23,16,221,1,24111983,1 - Scientific Data
NCT00265785,1,S0526: Pemetrexed Disodium in Treating Patients With Stage III or Stage IV Non-Small Cell Lung Cancer,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,6-Jul,14-Dec-05,11-Jul,11-Jul,12-Jul-12,Closed due to poor accrual,,2,27,Actual,99,,TRUE,,27,27,24,0.27,0,24,1,23415808,2 - No Scientific Data
NCT00266812,1,Safety and Tolerability of Low-Dose Temozolomide During Whole Brain Radiation in Patients With Cerebral Metastases From Non-Small-Cell Lung Cancer (Study P04071)(TERMINATED),Treatment,Parallel Assignment,Open Label,Randomized,Drug|Procedure,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,,,5-Mar,16-Dec-05,9-Aug,9-Aug,29-Jul-09,Patient target could not be reached within the planned timeframe.,,2,35,Actual,82,,TRUE,,35,35,31,0.43,,,0,,2 - No Scientific Data
NCT00267007,1,A Study to Investigate the Neuroprotective Effect of PROCRIT (Epoetin Alfa) Versus Placebo in Cancer Patients Who Develop Chemotherapy-induced Peripheral Neuropathy,Prevention,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Nervous System Diseases|All Conditions|Diseases and Abnormalities at or before Birth|Symptoms and General Pathology|Substance Related Disorders|Behaviors and Mental Disorders|Rare Diseases,INDUSTRY,,,,6-Jun,16-Dec-05,8-Aug,8-Aug,31-Jul-09,Slow enrollment,,2,32,Actual,120,,FALSE,E,30,32,30,0.27,7,,0,,2 - No Scientific Data
NCT00268983,1,Comparison Of Rituximab Versus Tositumomab and Iodine I 131 Tositumomab (BEXXAR?? Therapeutic Regimen) For Patients With Relapsed Follicular Non-Hodgkins Lymphoma,Treatment,Parallel Assignment,Open Label,Randomized,Biological|Biological,Phase 3,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,INDUSTRY,,Multiple,United States|United Kingdom,4-Oct,21-Dec-05,10-May,16-Apr,29-Jun-10,Study was stopped early due to lack of feasibility. Subjects originally treated in SB393220/028 continue long-term follow-up evaluations in Study BEX104528.,,4,14,Actual,506,,TRUE,,14,14,6,0.03,5,14,0,,2 - No Scientific Data
NCT00275262,1,A Study to Evaluate the Ability of Lupron Depot to Enhance Immune Function Following Bone Marrow Transplantation,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Heart and Blood Diseases|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States,6-Feb,9-Jan-06,9-Feb,,5-Feb-10,,,9,25,Actual,80,,TRUE,,25,25,13,0.31,10,25,0,,3 - No Reason Provided
NCT00276159,1,Study of Immune Response Modifier in the Treatment of Hematologic Malignancies,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Immune System Diseases|Heart and Blood Diseases|Rare Diseases,OTHER,,Single,United States,6-Jan,11-Jan-06,8-Nov,8-Nov,2-Mar-10,Drug was not available.,,3,6,Actual,60,,TRUE,,6,6,6,0.1,4,6,0,,2 - No Scientific Data
NCT00276419,1,Treatment of Breast Pain Using A Medication (Diclofenac) Applied to the Skin,Treatment,Crossover Assignment,Double Blind,Randomized,Drug|Drug,Phase 2|Phase 3,Nervous System Diseases|Symptoms and General Pathology|All Conditions,OTHER,,Single,United States,5-Jun,11-Jan-06,9-May,9-May,16-Nov-12,"Lack of funds; FDA approved a topical form of diclofenac during study, no need to continue study of pharmacy-compounded drug.",,1,25,Actual,30,,FALSE,E,18,25,0,0.83,0,36,0,,2 - No Scientific Data
NCT00279591,1,"Near-Continuous, Noninvasive Blood Pressure Monitoring to Improve Outcomes in Pediatric Transport",Treatment,Parallel Assignment,Double Blind,Randomized,Device|Device,,Symptoms and General Pathology|All Conditions,OTHER,,Single,United States,6-Jun,17-Jan-06,7-Jun,8-Jan,28-Mar-11,Lack of technical support and supplies,,4,94,Actual,115,,TRUE,,94,94,94,0.82,0,94,1,21173006,2 - No Scientific Data
NCT00281099,1,"Managed Ventricular Pacing (""MVP"") Trial",Prevention,Parallel Assignment,Single Blind,Randomized,Device,,Heart and Blood Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Austria|Canada|Canada|Canada|Canada|Canada|Canada|Denmark|France|France|Germany|Germany|Germany|Germany|Germany|Israel|Israel|Israel|Italy|Norway|Spain|Switzerland|United Kingdom,4-Oct,20-Jan-06,8-Jul,8-Jul,30-Jun-09,Inability to reach statistical significance toward primary endpoint,,6,1031,Actual,1000,,TRUE,,1031,1031,1030,1.03,249,1031,1,20685401,1 - Scientific Data
